NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ENSG00000147889	861	2.6219000816345215	-0.008260186	Yes	
row_1	ENSG00000101224	1129	2.2507998943328857	0.004301413	Yes	
row_2	ENSG00000127564	1190	2.1986000537872314	0.02493032	Yes	
row_3	ENSG00000101412	1423	1.9931999444961548	0.03623918	Yes	
row_4	ENSG00000091651	1540	1.912600040435791	0.051528737	Yes	
row_5	ENSG00000136997	1603	1.8566999435424805	0.06847805	Yes	
row_6	ENSG00000166851	1702	1.798200011253357	0.08331352	Yes	
row_7	ENSG00000110092	1919	1.6563999652862549	0.09174568	Yes	
row_8	ENSG00000093009	2008	1.6109000444412231	0.10502725	Yes	
row_9	ENSG00000073111	2081	1.5643999576568604	0.1184857	Yes	
row_10	ENSG00000166508	2134	1.544700026512146	0.13256943	Yes	
row_11	ENSG00000141552	2301	1.4843000173568726	0.14127257	Yes	
row_12	ENSG00000134057	2361	1.4652999639511108	0.15422975	Yes	
row_13	ENSG00000094804	2407	1.450700044631958	0.1676161	Yes	
row_14	ENSG00000105173	2410	1.4493999481201172	0.18277864	Yes	
row_15	ENSG00000116670	2441	1.4381999969482422	0.19665788	Yes	
row_16	ENSG00000164109	2781	1.3245999813079834	0.19648007	Yes	
